x_z1,x_z2,t_z
4.75,-2.75,35.0
9.75,-1.25,35.0
19.75,-14.75,35.0
13.25,-3.75,35.0
14.75,-13.75,35.0
6.75,-4.25,35.0
5.75,-2.25,35.0
16.25,-13.25,35.0
7.25,-4.75,35.0
19.25,-13.25,35.0
15.75,-7.75,35.0
24.75,-13.25,35.0
23.25,-18.25,36.0
27.25,-16.25,36.0
11.75,-2.25,36.0
13.25,-7.25,36.0
12.75,-3.75,36.0
25.25,-19.75,36.0
18.75,-16.75,36.0
13.75,-11.25,36.0
7.75,-4.75,36.0
21.25,-11.25,36.0
7.75,-6.25,36.0
22.25,-14.25,36.0
22.75,-17.75,36.0
13.75,-14.25,36.0
21.25,-16.25,36.0
7.25,0.75,36.0
22.75,-15.25,36.0
17.25,-9.75,36.0
12.25,-4.75,36.0
14.75,-12.25,36.0
14.75,-6.75,36.0
13.25,-7.75,36.0
14.25,-4.75,37.0
13.25,-9.75,37.0
14.75,-13.75,37.0
14.75,-5.75,37.0
11.75,-8.25,37.0
14.25,-5.25,37.0
20.75,-15.75,37.0
17.75,-8.75,37.0
24.75,-18.25,37.0
24.75,-17.25,37.0
22.25,-10.75,37.0
9.25,-6.75,37.0
9.25,0.75,38.0
10.75,-1.25,38.0
22.25,-18.25,38.0
26.25,-18.25,38.0
4.25,0.25,38.0
14.25,-4.75,38.0
8.75,-7.75,38.0
4.25,0.75,38.0
8.75,-8.25,39.0
10.25,-0.25,39.0
13.75,-3.25,39.0
7.25,-5.25,39.0
7.75,-6.75,39.0
22.75,-16.75,39.0
21.25,-17.75,39.0
25.25,-19.75,40.0
25.25,-13.75,40.0
21.75,-18.75,40.0
23.25,-18.75,40.0
10.75,-1.25,40.0
23.75,-18.75,40.0
6.75,-5.75,40.0
16.75,-15.75,41.0
24.75,-19.75,41.0
26.25,-18.25,41.0
15.25,-6.25,41.0
10.25,-0.25,41.0
14.75,-13.75,41.0
10.75,-1.25,41.0
24.25,-17.25,42.0
18.25,-16.75,42.0
13.25,-9.25,42.0
14.75,-14.25,42.0
4.75,1.25,42.0
11.25,-2.25,42.0
13.75,-11.25,42.0
18.25,-16.75,43.0
25.75,-17.75,43.0
26.75,-18.75,43.0
14.75,-5.25,43.0
21.75,-12.25,43.0
9.75,0.25,43.0
7.75,-6.75,43.0
17.75,-13.75,43.0
15.25,-13.25,44.0
23.75,-18.75,44.0
12.25,-11.75,44.0
23.75,-17.25,44.0
14.75,-6.25,44.0
18.75,-9.25,44.0
18.75,-8.75,44.0
13.75,-3.25,44.0
25.75,-18.75,45.0
4.75,-2.75,45.0
4.75,0.75,45.0
5.25,-1.75,45.0
22.25,-17.75,45.0
17.25,-8.75,45.0
12.75,-10.25,45.0
25.25,-13.25,45.0
25.25,-13.75,45.0
21.25,-10.75,46.0
11.25,-12.25,46.0
17.25,-15.75,46.0
25.75,-15.75,46.0
18.25,-8.25,46.0
9.25,-0.25,46.0
14.25,-5.75,46.0
11.75,-2.25,46.0
4.75,-2.25,46.0
7.75,-4.75,47.0
19.25,-11.75,47.0
8.25,-5.75,47.0
12.75,-10.25,47.0
6.75,-4.25,47.0
8.75,1.25,47.0
25.25,-17.25,47.0
17.25,-11.75,47.0
19.25,-13.25,47.0
22.25,-16.25,47.0
18.75,-16.75,47.0
10.25,0.25,47.0
12.75,-3.25,47.0
21.75,-13.75,47.0
9.25,-6.75,47.0
11.75,-7.75,47.0
26.75,-15.25,47.0
15.25,-7.75,48.0
14.25,-8.25,48.0
12.75,-3.25,48.0
21.25,-12.25,48.0
6.75,-5.25,48.0
26.25,-18.25,48.0
21.75,-17.25,48.0
17.25,-10.25,48.0
13.25,-11.25,48.0
22.75,-16.25,48.0
15.75,-10.75,48.0
22.25,-13.75,48.0
26.25,-17.25,48.0
7.25,-4.75,48.0
27.25,-16.75,48.0
20.25,-14.75,48.0
7.25,-5.25,48.0
25.25,-14.75,48.0
14.75,-6.25,48.0
18.75,-9.25,49.0
14.25,-13.75,49.0
27.75,-17.25,49.0
25.75,-18.25,49.0
17.75,-14.75,49.0
4.75,-1.25,49.0
26.25,-18.75,49.0
18.25,-8.75,49.0
7.75,-4.75,49.0
15.25,-12.25,49.0
26.75,-18.75,49.0
21.75,-12.25,50.0
12.75,-12.25,50.0
6.75,-6.25,50.0
22.25,-18.25,50.0
21.75,-16.75,50.0
13.25,-11.75,50.0
18.25,-9.75,50.0
20.75,-18.25,50.0
19.25,-10.75,50.0
22.75,-17.25,51.0
9.25,-8.25,51.0
13.25,-11.75,51.0
26.75,-14.75,51.0
12.25,-13.25,51.0
14.75,-5.75,51.0
6.25,1.25,51.0
21.25,-17.25,52.0
5.25,1.25,52.0
27.25,-16.75,52.0
18.25,-8.25,52.0
14.75,-4.75,52.0
26.75,-14.75,52.0
22.25,-18.25,52.0
7.75,-6.75,52.0
6.75,-5.25,52.0
11.75,-8.25,53.0
17.25,-8.75,53.0
18.75,-14.75,53.0
18.75,-16.75,53.0
20.25,-15.75,53.0
12.75,-9.75,53.0
20.75,-11.75,53.0
23.25,-17.75,53.0
21.25,-16.75,53.0
6.25,-3.75,54.0
5.75,0.75,54.0
4.75,1.25,54.0
12.25,-12.25,54.0
4.75,0.25,54.0
17.25,-15.25,54.0
6.75,-6.75,54.0
19.25,-15.75,54.0
7.75,-6.25,54.0
8.75,-6.75,55.0
25.25,-19.25,55.0
7.25,-4.75,55.0
12.75,-9.75,55.0
27.75,-16.75,55.0
10.75,-1.75,55.0
12.25,-13.25,55.0
22.25,-18.75,55.0
25.25,-18.25,55.0
14.75,-14.25,56.0
7.25,-5.25,56.0
22.25,-11.75,56.0
9.75,0.25,56.0
10.25,-0.75,56.0
11.25,-12.25,56.0
4.25,0.25,56.0
8.25,-7.75,56.0
22.75,-13.25,57.0
25.25,-19.75,57.0
27.25,-18.25,57.0
27.75,-15.25,57.0
11.75,-7.75,57.0
12.75,-12.25,57.0
5.75,1.25,57.0
18.75,-16.25,57.0
6.25,-3.75,57.0
27.25,-17.25,58.0
24.25,-14.75,58.0
8.25,-7.75,58.0
25.75,-13.25,58.0
18.25,-16.75,58.0
26.75,-14.25,58.0
21.25,-11.75,58.0
22.25,-16.75,58.0
7.75,1.25,58.0
25.75,-15.75,58.0
26.25,-14.25,58.0
23.75,-16.75,59.0
7.75,1.25,59.0
7.75,-4.75,59.0
9.75,-0.75,59.0
16.25,-9.75,59.0
16.75,-12.25,59.0
20.75,-18.25,59.0
24.25,-16.25,59.0
22.25,-13.25,59.0
25.25,-15.25,59.0
26.25,-18.75,59.0
12.25,-12.25,59.0
14.75,-9.75,59.0
5.75,-1.25,59.0
21.75,-12.25,59.0
4.25,-0.75,59.0
12.25,-12.75,59.0
14.25,-11.75,59.0
15.25,-9.75,60.0
14.75,-9.75,60.0
7.25,-6.75,60.0
12.75,-3.75,60.0
7.75,-6.25,60.0
23.25,-14.75,60.0
9.25,-6.75,60.0
16.75,-9.75,60.0
14.25,-5.25,60.0
11.25,-7.25,60.0
20.75,-11.75,60.0
17.75,-9.75,60.0
18.75,-12.75,60.0
12.25,-6.75,60.0
13.75,-9.75,60.0
14.75,-10.75,60.0
7.75,-3.25,60.0
11.75,-5.25,60.0
16.75,-10.25,60.0
25.25,-18.75,60.0
26.25,-19.75,60.0
20.25,-12.75,60.0
12.75,-4.75,60.0
8.25,-4.75,60.0
26.75,-17.75,61.0
24.75,-13.25,61.0
26.75,-14.75,61.0
13.75,-10.75,61.0
7.75,-6.25,61.0
5.25,-3.25,61.0
5.75,-2.75,61.0
21.75,-18.75,61.0
5.25,1.75,61.0
13.75,-14.75,61.0
27.75,-14.75,62.0
7.25,-5.75,62.0
7.25,-6.25,62.0
19.75,-15.75,62.0
24.75,-18.75,62.0
7.25,-4.75,62.0
8.25,-6.75,62.0
4.75,-2.25,62.0
17.25,-15.75,63.0
25.25,-17.75,63.0
13.25,-10.75,63.0
18.25,-16.75,63.0
9.75,0.75,63.0
23.25,-18.25,63.0
7.75,-6.75,63.0
12.25,-13.25,64.0
13.75,-14.25,64.0
8.75,-7.75,64.0
18.75,-8.75,64.0
3.75,-1.25,64.0
25.25,-18.75,64.0
7.25,-5.25,65.0
24.25,-19.75,65.0
6.25,-3.75,65.0
27.25,-15.25,65.0
7.25,-6.75,65.0
21.25,-16.75,65.0
11.75,-2.25,66.0
14.75,-5.75,66.0
15.75,-5.75,66.0
18.25,-16.75,66.0
24.25,-18.25,66.0
6.75,-5.25,66.0
14.75,-4.75,67.0
18.25,-16.25,67.0
15.75,-5.75,67.0
24.75,-17.25,67.0
27.75,-15.25,67.0
22.25,-17.75,67.0
7.25,-6.25,67.0
15.25,-5.25,68.0
21.75,-10.75,68.0
6.25,1.75,68.0
14.25,-13.75,68.0
21.25,-17.25,68.0
5.75,1.75,68.0
18.25,-8.75,69.0
13.25,-10.25,69.0
15.25,-5.25,69.0
14.75,-5.75,69.0
13.25,-9.25,69.0
25.25,-19.25,69.0
13.75,-14.25,69.0
6.25,1.75,69.0
21.25,-16.25,70.0
25.25,-13.25,70.0
14.75,-13.25,70.0
26.75,-18.75,70.0
4.25,0.25,70.0
4.25,-0.75,70.0
24.75,-18.75,70.0
6.75,-5.25,70.0
15.25,-12.75,70.0
5.25,-1.75,70.0
6.25,-1.25,71.0
10.25,-0.25,71.0
21.75,-13.25,71.0
17.75,-13.75,71.0
14.25,-11.25,71.0
26.25,-17.25,71.0
3.75,0.25,71.0
24.25,-15.25,71.0
6.75,-2.25,71.0
21.25,-15.25,71.0
16.75,-12.25,71.0
7.75,1.75,71.0
18.25,-11.75,71.0
25.25,-14.75,71.0
21.75,-14.75,71.0
17.25,-8.75,71.0
21.25,-16.25,71.0
5.25,1.25,71.0
5.25,1.75,72.0
12.75,-5.25,72.0
17.25,-12.75,72.0
10.75,-1.25,72.0
21.25,-14.75,72.0
9.25,0.75,72.0
7.75,-0.75,72.0
6.75,0.75,72.0
13.25,-3.75,72.0
8.25,-6.25,72.0
23.75,-13.75,72.0
6.25,-2.75,72.0
20.25,-14.25,72.0
22.25,-12.75,72.0
12.75,-4.75,72.0
14.25,-8.25,72.0
4.75,-0.25,72.0
14.75,-6.75,72.0
6.75,-3.75,72.0
6.75,-6.75,73.0
15.25,-12.25,73.0
17.75,-12.75,73.0
15.75,-11.75,73.0
14.25,-7.25,73.0
18.75,-15.75,73.0
23.75,-18.25,73.0
11.25,-3.75,73.0
13.75,-9.75,73.0
16.25,-11.25,73.0
10.25,-5.25,73.0
24.75,-18.75,73.0
9.75,0.75,73.0
4.25,-1.25,73.0
19.75,-14.25,73.0
23.75,-13.75,73.0
11.75,-12.25,73.0
15.25,-11.25,73.0
27.25,-16.25,73.0
25.25,-14.75,73.0
17.25,-11.75,73.0
22.25,-14.75,73.0
7.25,0.25,73.0
26.25,-17.75,74.0
24.75,-15.25,74.0
21.25,-10.75,74.0
27.75,-17.25,74.0
25.25,-12.75,74.0
15.25,-6.25,74.0
27.25,-16.25,74.0
21.75,-16.25,74.0
13.75,-14.75,74.0
5.25,-2.25,74.0
24.75,-14.25,74.0
18.25,-13.75,75.0
4.75,1.25,75.0
26.75,-14.75,75.0
14.25,-14.75,75.0
13.75,-3.25,75.0
24.25,-17.75,75.0
27.75,-14.75,75.0
22.75,-17.75,75.0
16.75,-15.75,76.0
18.25,-8.25,76.0
18.75,-16.25,76.0
3.75,-0.75,76.0
11.75,-12.25,76.0
14.25,-4.75,76.0
24.75,-18.75,76.0
18.75,-13.25,77.0
6.75,-4.25,77.0
23.75,-18.25,77.0
9.25,-7.25,77.0
21.75,-18.25,77.0
13.75,-3.25,77.0
18.75,-16.75,77.0
18.25,-8.75,78.0
15.25,-6.25,78.0
19.25,-12.75,78.0
11.25,-12.25,78.0
18.25,-13.75,78.0
18.75,-10.75,78.0
17.75,-14.25,78.0
25.25,-19.25,79.0
24.75,-13.75,79.0
15.25,-5.75,79.0
8.25,1.75,79.0
27.25,-15.25,79.0
17.25,-14.25,79.0
11.25,-12.25,79.0
18.25,-13.75,79.0
13.25,-11.25,80.0
13.75,-3.25,80.0
8.25,-5.75,80.0
19.75,-12.25,80.0
14.75,-13.75,80.0
14.25,-14.75,80.0
21.75,-18.25,80.0
13.75,-11.75,80.0
14.75,-13.75,81.0
14.25,-11.25,81.0
13.25,-12.25,81.0
5.25,-3.25,81.0
24.75,-17.25,81.0
26.25,-17.25,81.0
6.75,-5.25,81.0
26.25,-19.75,81.0
24.25,-17.75,81.0
11.75,-11.75,81.0
22.25,-18.25,82.0
14.25,-5.75,82.0
17.75,-14.25,82.0
18.75,-15.75,82.0
13.25,-11.75,82.0
14.25,-13.75,82.0
19.75,-11.75,82.0
24.75,-19.75,82.0
15.75,-11.75,82.0
12.75,-9.75,82.0
24.75,-15.25,83.0
27.75,-16.25,83.0
25.75,-15.25,83.0
27.25,-16.25,83.0
13.75,-9.75,83.0
23.75,-13.75,83.0
6.25,1.25,83.0
22.25,-16.25,83.0
3.75,-0.75,83.0
13.75,-10.25,83.0
20.25,-13.25,83.0
15.75,-12.75,83.0
15.75,-12.25,83.0
21.25,-13.75,83.0
24.75,-18.25,83.0
18.25,-13.25,83.0
22.25,-18.75,83.0
25.75,-19.25,83.0
25.75,-19.25,84.0
21.25,-14.25,84.0
17.25,-11.25,84.0
27.75,-18.25,84.0
18.25,-8.75,84.0
14.25,-8.25,84.0
11.25,-3.25,84.0
7.75,-2.75,84.0
13.25,-7.25,84.0
19.25,-13.75,84.0
18.75,-13.25,84.0
21.25,-12.75,84.0
8.75,1.25,84.0
12.75,-3.75,84.0
27.25,-18.25,84.0
12.25,-12.75,84.0
26.75,-17.75,84.0
7.25,-1.75,84.0
19.75,-13.25,84.0
12.75,-7.75,84.0
4.25,0.75,84.0
14.25,-6.75,84.0
9.25,-5.75,84.0
27.75,-15.75,84.0
19.75,-11.25,85.0
23.25,-17.25,85.0
24.75,-19.25,85.0
21.25,-12.75,85.0
25.25,-12.75,85.0
23.75,-13.75,85.0
23.75,-18.25,85.0
13.25,-12.25,85.0
25.75,-17.75,85.0
17.25,-14.25,85.0
26.75,-17.25,85.0
21.25,-15.25,85.0
25.75,-15.25,85.0
15.25,-5.75,85.0
15.25,-6.25,86.0
25.25,-18.25,86.0
24.75,-17.75,86.0
21.75,-10.75,86.0
18.25,-8.75,86.0
7.75,-6.75,86.0
21.75,-16.75,87.0
22.25,-18.25,87.0
15.25,-5.75,87.0
25.25,-18.25,87.0
13.75,-14.25,87.0
25.25,-13.25,88.0
22.25,-11.25,88.0
24.75,-17.75,88.0
5.25,-3.25,88.0
24.75,-13.25,88.0
26.75,-14.75,89.0
26.75,-18.75,89.0
14.25,-14.25,89.0
26.25,-18.25,89.0
20.75,-17.75,89.0
10.25,0.25,90.0
18.75,-8.75,90.0
14.75,-5.25,90.0
26.75,-14.75,90.0
24.75,-18.75,90.0
18.25,-8.25,91.0
26.25,-18.75,91.0
9.25,0.25,91.0
8.75,-8.25,91.0
12.25,-12.75,91.0
17.25,-15.75,92.0
18.75,-16.75,92.0
24.75,-13.75,92.0
25.25,-18.25,92.0
17.25,-14.25,92.0
25.75,-17.75,93.0
14.25,-5.25,93.0
6.75,-5.75,93.0
17.25,-14.75,93.0
9.25,-8.25,93.0
22.75,-18.25,93.0
7.25,1.75,93.0
6.75,-5.75,94.0
26.25,-17.75,94.0
14.25,-11.75,94.0
8.75,1.25,94.0
8.25,-6.25,94.0
24.25,-18.25,94.0
17.75,-14.25,94.0
22.25,-11.75,94.0
22.25,-16.25,95.0
8.75,-8.25,95.0
22.25,-17.75,95.0
7.75,-6.75,95.0
6.25,-3.75,95.0
22.25,-16.75,95.0
12.75,-12.25,95.0
11.75,-12.25,95.0
23.25,-14.75,95.0
26.75,-16.25,95.0
14.25,-14.25,95.0
21.75,-11.75,95.0
4.75,1.25,96.0
24.75,-15.25,96.0
23.75,-17.25,96.0
6.75,-5.25,96.0
22.75,-17.25,96.0
21.25,-11.75,96.0
10.25,-7.25,96.0
10.25,-0.25,96.0
12.75,-12.25,96.0
8.25,-5.75,96.0
6.75,0.25,96.0
26.25,-17.25,96.0
17.25,-8.75,96.0
7.25,-6.25,96.0
22.75,-17.25,97.0
5.75,1.75,97.0
24.75,-19.75,97.0
9.75,-6.75,97.0
15.75,-5.75,97.0
22.25,-18.25,97.0
9.75,-6.25,97.0
21.25,-16.75,97.0
11.75,-12.25,97.0
14.75,-14.25,98.0
16.25,-8.25,98.0
17.25,-9.25,98.0
9.25,-6.75,98.0
24.75,-18.25,98.0
6.75,-5.75,98.0
22.25,-16.75,98.0
21.75,-18.75,98.0
17.75,-14.75,98.0
24.75,-18.25,99.0
24.75,-18.75,99.0
18.25,-9.25,99.0
13.25,-12.25,99.0
15.75,-13.25,99.0
21.25,-10.75,99.0
3.75,-0.25,99.0
6.25,1.75,100.0
26.25,-17.75,100.0
9.25,-6.75,100.0
14.75,-14.25,100.0
17.75,-8.75,100.0
24.75,-19.75,100.0
7.25,-4.75,100.0
10.25,-0.75,101.0
22.75,-18.25,101.0
14.75,-12.25,101.0
4.75,-2.25,101.0
7.75,-5.75,101.0
18.75,-8.25,101.0
21.25,-16.75,101.0
15.75,-6.75,102.0
7.25,-6.75,102.0
22.75,-17.75,102.0
8.75,-7.75,102.0
21.75,-17.25,102.0
7.25,-5.75,102.0
15.75,-6.75,103.0
13.75,-13.75,103.0
12.75,-9.25,103.0
23.25,-18.75,103.0
11.75,-8.25,103.0
15.25,-5.25,103.0
9.25,0.25,104.0
5.75,-2.75,104.0
10.75,-1.75,104.0
14.25,-14.25,104.0
22.25,-18.25,104.0
10.25,-7.25,104.0
13.75,-13.75,104.0
20.25,-11.25,105.0
14.75,-4.25,105.0
18.25,-8.25,105.0
4.25,-1.25,105.0
9.75,0.75,105.0
5.75,0.75,105.0
21.25,-16.75,105.0
14.25,-14.25,105.0
22.25,-16.25,105.0
24.75,-19.25,106.0
12.25,-12.25,106.0
26.25,-17.75,106.0
21.75,-18.25,106.0
9.25,-7.25,106.0
22.75,-17.25,106.0
22.25,-12.75,106.0
21.75,-16.25,106.0
17.25,-8.75,106.0
17.25,-13.75,106.0
20.75,-18.25,106.0
19.75,-11.25,107.0
20.75,-12.75,107.0
13.75,-9.25,107.0
13.25,-14.25,107.0
7.75,-5.75,107.0
18.25,-11.75,107.0
21.25,-18.25,107.0
18.75,-12.25,107.0
27.75,-15.75,107.0
25.75,-18.75,107.0
6.75,-5.25,107.0
24.25,-18.25,107.0
20.25,-15.25,107.0
4.25,-0.75,107.0
19.75,-14.25,107.0
26.25,-19.25,107.0
21.75,-16.25,107.0
8.25,-7.25,107.0
13.25,-12.25,108.0
5.25,0.25,108.0
3.75,0.25,108.0
25.25,-14.75,108.0
5.25,1.25,108.0
25.75,-19.25,108.0
23.75,-16.25,108.0
23.75,-18.75,108.0
21.75,-16.75,108.0
8.75,-5.75,108.0
26.75,-14.25,108.0
26.25,-17.75,108.0
25.25,-15.25,108.0
20.75,-18.25,108.0
25.75,-17.25,109.0
25.25,-18.25,109.0
13.75,-14.75,109.0
12.75,-10.25,109.0
8.25,1.75,109.0
7.25,-6.75,109.0
25.75,-18.25,109.0
14.75,-5.25,109.0
26.25,-14.25,109.0
21.75,-11.75,110.0
7.25,-5.25,110.0
4.25,0.25,110.0
22.75,-11.25,110.0
6.25,-4.25,110.0
19.75,-15.25,110.0
14.75,-14.25,110.0
21.25,-17.75,110.0
15.25,-6.25,111.0
25.25,-13.25,111.0
17.25,-14.75,111.0
9.25,0.75,111.0
12.75,-12.25,111.0
7.75,-6.25,111.0
23.75,-17.75,111.0
25.75,-17.25,112.0
6.75,-4.75,112.0
21.25,-10.75,112.0
17.25,-15.25,112.0
25.75,-17.75,112.0
12.75,-10.25,112.0
25.25,-19.25,112.0
17.25,-15.75,112.0
8.25,-7.25,113.0
17.25,-15.25,113.0
7.25,-4.75,113.0
12.75,-10.25,113.0
14.75,-13.25,113.0
18.75,-16.25,113.0
20.75,-17.75,113.0
9.25,0.75,114.0
15.25,-5.25,114.0
25.25,-18.25,114.0
22.75,-17.75,114.0
6.75,-3.25,114.0
21.25,-18.25,114.0
20.75,-11.25,114.0
21.75,-11.25,115.0
7.25,-5.75,115.0
11.75,-8.25,115.0
7.25,-6.75,115.0
8.25,-7.25,115.0
17.25,-14.75,115.0
27.75,-18.25,115.0
17.75,-14.75,116.0
24.25,-18.25,116.0
12.75,-3.25,116.0
25.75,-13.25,116.0
14.25,-11.25,116.0
9.75,0.75,116.0
4.75,-2.75,116.0
21.25,-18.25,116.0
12.75,-12.75,117.0
24.75,-18.75,117.0
6.75,-5.75,117.0
15.75,-13.25,117.0
18.25,-9.25,117.0
13.75,-13.75,117.0
18.75,-16.25,117.0
12.75,-9.75,117.0
17.75,-14.75,117.0
26.75,-18.75,118.0
16.25,-8.75,118.0
11.75,-2.25,118.0
12.75,-11.75,118.0
25.75,-18.75,118.0
13.75,-5.25,118.0
10.25,-1.25,118.0
14.25,-10.25,118.0
4.75,-0.75,118.0
5.75,-2.25,118.0
5.25,0.75,118.0
26.25,-18.75,119.0
24.75,-18.25,119.0
6.75,-4.25,119.0
7.25,-4.25,119.0
14.25,-14.25,119.0
21.25,-16.25,119.0
7.25,-4.75,119.0
16.25,-8.25,119.0
23.25,-15.75,119.0
21.25,-17.75,119.0
7.75,-6.25,119.0
6.75,1.25,119.0
23.75,-17.75,119.0
6.75,1.75,119.0
27.75,-18.25,119.0
7.25,0.25,119.0
24.75,-19.75,119.0
9.25,-5.75,119.0
